净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2017-09-11,1.0145,1.0145,2017-09-11,1.0145,1.0145,,,1,-0.05,开放申购,开放赎回,,,,
2017-09-12,1.0161,1.0161,2017-09-12,1.0161,1.0161,,,1,0.16,开放申购,开放赎回,,,,
2017-09-13,1.017,1.0170,2017-09-13,1.0170,1.0170,,,1,0.09,开放申购,开放赎回,,,,
2017-09-14,1.0159,1.0159,2017-09-14,1.0159,1.0159,,,1,-0.11,开放申购,开放赎回,,,,
2017-09-15,1.0145,1.0145,2017-09-15,1.0145,1.0145,,,1,-0.14,开放申购,开放赎回,,,,
2017-09-18,1.0151,1.0151,2017-09-18,1.0151,1.0151,,,1,0.06,开放申购,开放赎回,,,,
2017-09-19,1.015,1.0150,2017-09-19,1.0150,1.0150,,,1,-0.01,开放申购,开放赎回,,,,
2017-09-20,1.0144,1.0144,2017-09-20,1.0144,1.0144,,,1,-0.06,开放申购,开放赎回,,,,
2017-09-21,1.0146,1.0146,2017-09-21,1.0146,1.0146,,,1,0.02,开放申购,开放赎回,,,,
2017-09-22,1.0147,1.0147,2017-09-22,1.0147,1.0147,,,1,0.01,开放申购,开放赎回,,,,
2017-09-25,1.0149,1.0149,2017-09-25,1.0149,1.0149,,,1,0.02,开放申购,开放赎回,,,,
2017-09-26,1.0147,1.0147,2017-09-26,1.0147,1.0147,,,1,-0.02,开放申购,开放赎回,,,,
2017-09-27,1.0147,1.0147,2017-09-27,1.0147,1.0147,,,1,0.00,开放申购,开放赎回,,,,
2017-09-28,1.0149,1.0149,2017-09-28,1.0149,1.0149,,,1,0.02,暂停申购,暂停赎回,,,,
2017-09-29,1.0151,1.0151,2017-09-29,1.0151,1.0151,,,1,0.02,暂停申购,暂停赎回,,,,
2017-10-09,1.016,1.0160,2017-10-09,1.0160,1.0160,,,1,0.09,开放申购,开放赎回,,,,
2017-10-10,1.0161,1.0161,2017-10-10,1.0161,1.0161,,,1,0.01,开放申购,开放赎回,,,,
2017-10-11,1.0161,1.0161,2017-10-11,1.0161,1.0161,,,1,0.00,开放申购,开放赎回,,,,
