净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-10-21,0.9903,0.9903,2021-10-21,0.9903,0.9903,,,1,-0.70,开放申购,开放赎回,,,,
2021-10-22,0.9943,0.9943,2021-10-22,0.9943,0.9943,,,1,0.40,开放申购,开放赎回,,,,
2021-10-25,0.9902,0.9902,2021-10-25,0.9902,0.9902,,,1,-0.41,开放申购,开放赎回,,,,
2021-10-26,0.9871,0.9871,2021-10-26,0.9871,0.9871,,,1,-0.31,开放申购,开放赎回,,,,
2021-10-27,0.974,0.9740,2021-10-27,0.9740,0.9740,,,1,-1.33,开放申购,开放赎回,,,,
2021-10-28,0.9712,0.9712,2021-10-28,0.9712,0.9712,,,1,-0.29,开放申购,开放赎回,,,,
2021-10-29,0.9806,0.9806,2021-10-29,0.9806,0.9806,,,1,0.97,开放申购,开放赎回,,,,
2021-11-01,0.9773,0.9773,2021-11-01,0.9773,0.9773,,,1,-0.34,开放申购,开放赎回,,,,
2021-11-02,0.9753,0.9753,2021-11-02,0.9753,0.9753,,,1,-0.20,开放申购,开放赎回,,,,
2021-11-03,0.9812,0.9812,2021-11-03,0.9812,0.9812,,,1,0.60,开放申购,开放赎回,,,,
2021-11-04,0.9868,0.9868,2021-11-04,0.9868,0.9868,,,1,0.57,开放申购,开放赎回,,,,
2021-11-05,0.987,0.9870,2021-11-05,0.9870,0.9870,,,1,0.02,开放申购,开放赎回,,,,
2021-11-08,0.983,0.9830,2021-11-08,0.9830,0.9830,,,1,-0.41,开放申购,开放赎回,,,,
2021-11-09,0.9889,0.9889,2021-11-09,0.9889,0.9889,,,1,0.60,开放申购,开放赎回,,,,
2021-11-10,0.9901,0.9901,2021-11-10,0.9901,0.9901,,,1,0.12,开放申购,开放赎回,,,,
2021-11-11,0.9992,0.9992,2021-11-11,0.9992,0.9992,,,1,0.92,开放申购,开放赎回,,,,
2021-11-12,1.0011,1.0011,2021-11-12,1.0011,1.0011,,,1,0.19,开放申购,开放赎回,,,,
2021-11-15,1.0103,1.0103,2021-11-15,1.0103,1.0103,,,1,0.92,开放申购,开放赎回,,,,
2021-11-16,1.0153,1.0153,2021-11-16,1.0153,1.0153,,,1,0.49,开放申购,开放赎回,,,,
2021-11-17,1.0122,1.0122,2021-11-17,1.0122,1.0122,,,1,-0.31,开放申购,开放赎回,,,,
2021-08-27,0.9758,0.9758,2021-08-27,0.9758,0.9758,,,1,,封闭期,封闭期,,,,
2021-09-03,0.9848,0.9848,2021-09-03,0.9848,0.9848,,,1,,封闭期,封闭期,,,,
2021-09-10,0.9954,0.9954,2021-09-10,0.9954,0.9954,,,1,,封闭期,封闭期,,,,
2021-09-17,0.9778,0.9778,2021-09-17,0.9778,0.9778,,,1,,封闭期,封闭期,,,,
