净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-03-08,0.9918,0.9918,2021-03-08,0.9918,0.9918,,,1,-4.16,开放申购,封闭期,,,,
2021-03-09,0.9745,0.9745,2021-03-09,0.9745,0.9745,,,1,-1.74,开放申购,封闭期,,,,
2021-03-10,0.9758,0.9758,2021-03-10,0.9758,0.9758,,,1,0.13,开放申购,封闭期,,,,
2021-03-11,0.9981,0.9981,2021-03-11,0.9981,0.9981,,,1,2.29,开放申购,封闭期,,,,
2021-03-12,0.9788,0.9788,2021-03-12,0.9788,0.9788,,,1,-1.93,开放申购,封闭期,,,,
2021-03-15,0.9541,0.9541,2021-03-15,0.9541,0.9541,,,1,-2.52,开放申购,封闭期,,,,
2021-03-16,0.9645,0.9645,2021-03-16,0.9645,0.9645,,,1,1.09,开放申购,封闭期,,,,
2021-03-17,0.9789,0.9789,2021-03-17,0.9789,0.9789,,,1,1.49,开放申购,封闭期,,,,
2021-03-18,0.98,0.9800,2021-03-18,0.9800,0.9800,,,1,0.11,开放申购,封闭期,,,,
2021-03-19,0.9661,0.9661,2021-03-19,0.9661,0.9661,,,1,-1.42,开放申购,封闭期,,,,
2021-03-22,0.9767,0.9767,2021-03-22,0.9767,0.9767,,,1,1.10,开放申购,封闭期,,,,
2021-03-23,0.9715,0.9715,2021-03-23,0.9715,0.9715,,,1,-0.53,开放申购,封闭期,,,,
2021-03-24,0.9561,0.9561,2021-03-24,0.9561,0.9561,,,1,-1.59,开放申购,封闭期,,,,
2021-03-25,0.9624,0.9624,2021-03-25,0.9624,0.9624,,,1,0.66,开放申购,封闭期,,,,
2021-03-26,0.985,0.9850,2021-03-26,0.9850,0.9850,,,1,2.35,开放申购,封闭期,,,,
2021-03-29,0.9891,0.9891,2021-03-29,0.9891,0.9891,,,1,0.42,开放申购,封闭期,,,,
2021-03-30,1.0018,1.0018,2021-03-30,1.0018,1.0018,,,1,1.28,开放申购,封闭期,,,,
2021-03-31,1.0043,1.0043,2021-03-31,1.0043,1.0043,,,1,0.25,开放申购,封闭期,,,,
2021-04-01,1.0273,1.0273,2021-04-01,1.0273,1.0273,,,1,2.29,开放申购,封闭期,,,,
2021-04-02,1.0434,1.0434,2021-04-02,1.0434,1.0434,,,1,1.57,暂停申购,封闭期,,,,
2020-12-08,1.0,1.0000,2020-12-08,1.0000,1.0000,,,1,,封闭期,封闭期,,,,
2020-12-11,0.9922,0.9922,2020-12-11,0.9922,0.9922,,,1,,封闭期,封闭期,,,,
2020-12-18,0.9989,0.9989,2020-12-18,0.9989,0.9989,,,1,,封闭期,封闭期,,,,
2020-12-25,0.9963,0.9963,2020-12-25,0.9963,0.9963,,,1,,封闭期,封闭期,,,,
2020-12-31,1.022,1.0220,2020-12-31,1.0220,1.0220,,,1,,封闭期,封闭期,,,,
2021-01-08,1.0471,1.0471,2021-01-08,1.0471,1.0471,,,1,,封闭期,封闭期,,,,
2021-01-15,1.0357,1.0357,2021-01-15,1.0357,1.0357,,,1,,封闭期,封闭期,,,,
2021-01-22,1.0893,1.0893,2021-01-22,1.0893,1.0893,,,1,,封闭期,封闭期,,,,
2021-01-29,1.0484,1.0484,2021-01-29,1.0484,1.0484,,,1,,封闭期,封闭期,,,,
