净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-03-18,0.7676,0.7676,2022-03-18,0.7676,0.7676,,,1,-0.71,开放申购,开放赎回,,,,
2022-03-21,0.7601,0.7601,2022-03-21,0.7601,0.7601,,,1,-0.98,开放申购,开放赎回,,,,
2022-03-22,0.7751,0.7751,2022-03-22,0.7751,0.7751,,,1,1.97,开放申购,开放赎回,,,,
2022-03-23,0.7846,0.7846,2022-03-23,0.7846,0.7846,,,1,1.23,开放申购,开放赎回,,,,
2022-03-24,0.7685,0.7685,2022-03-24,0.7685,0.7685,,,1,-2.05,开放申购,开放赎回,,,,
2022-03-25,0.748,0.7480,2022-03-25,0.7480,0.7480,,,1,-2.67,开放申购,开放赎回,,,,
2022-03-28,0.7583,0.7583,2022-03-28,0.7583,0.7583,,,1,1.38,开放申购,开放赎回,,,,
2022-03-29,0.7662,0.7662,2022-03-29,0.7662,0.7662,,,1,1.04,开放申购,开放赎回,,,,
2022-03-30,0.778,0.7780,2022-03-30,0.7780,0.7780,,,1,1.54,开放申购,开放赎回,,,,
2022-03-31,0.7674,0.7674,2022-03-31,0.7674,0.7674,,,1,-1.36,暂停申购,暂停赎回,,,,
2022-04-01,0.7712,0.7712,2022-04-01,0.7712,0.7712,,,1,0.50,暂停申购,暂停赎回,,,,
2022-04-06,0.7793,0.7793,2022-04-06,0.7793,0.7793,,,1,1.05,开放申购,开放赎回,,,,
2022-04-07,0.7616,0.7616,2022-04-07,0.7616,0.7616,,,1,-2.27,开放申购,开放赎回,,,,
2022-04-08,0.7543,0.7543,2022-04-08,0.7543,0.7543,,,1,-0.96,开放申购,开放赎回,,,,
2022-04-11,0.7209,0.7209,2022-04-11,0.7209,0.7209,,,1,-4.43,开放申购,开放赎回,,,,
2022-04-12,0.7359,0.7359,2022-04-12,0.7359,0.7359,,,1,2.08,开放申购,开放赎回,,,,
2022-04-13,0.7307,0.7307,2022-04-13,0.7307,0.7307,,,1,-0.71,开放申购,开放赎回,,,,
2022-04-14,0.738,0.7380,2022-04-14,0.7380,0.7380,,,1,1.00,开放申购,开放赎回,,,,
2022-04-15,0.7364,0.7364,2022-04-15,0.7364,0.7364,,,1,-0.22,暂停申购,暂停赎回,,,,
2022-04-18,0.7347,0.7347,2022-04-18,0.7347,0.7347,,,1,-0.23,暂停申购,暂停赎回,,,,
2021-12-31,1.0029,1.0029,2021-12-31,1.0029,1.0029,,,1,,封闭期,封闭期,,,,
2022-01-07,0.9648,0.9648,2022-01-07,0.9648,0.9648,,,1,,封闭期,封闭期,,,,
2022-01-14,0.9746,0.9746,2022-01-14,0.9746,0.9746,,,1,,封闭期,封闭期,,,,
2022-01-19,0.9861,0.9861,2022-01-19,0.9861,0.9861,,,1,,封闭期,封闭期,,,,
2022-01-20,1.0072,1.0072,2022-01-20,1.0072,1.0072,,,1,2.14,开放申购,开放赎回,,,,
2022-01-21,1.0004,1.0004,2022-01-21,1.0004,1.0004,,,1,-0.68,开放申购,开放赎回,,,,
2022-01-24,0.9927,0.9927,2022-01-24,0.9927,0.9927,,,1,-0.77,开放申购,开放赎回,,,,
2022-01-25,0.9711,0.9711,2022-01-25,0.9711,0.9711,,,1,-2.18,开放申购,开放赎回,,,,
2022-01-26,0.9728,0.9728,2022-01-26,0.9728,0.9728,,,1,0.18,开放申购,开放赎回,,,,
2022-01-27,0.9479,0.9479,2022-01-27,0.9479,0.9479,,,1,-2.56,开放申购,开放赎回,,,,
2022-01-28,0.938,0.9380,2022-01-28,0.9380,0.9380,,,1,-1.04,开放申购,开放赎回,,,,
2022-02-07,0.9509,0.9509,2022-02-07,0.9509,0.9509,,,1,1.38,开放申购,开放赎回,,,,
2022-02-08,0.9446,0.9446,2022-02-08,0.9446,0.9446,,,1,-0.66,开放申购,开放赎回,,,,
2022-02-09,0.9662,0.9662,2022-02-09,0.9662,0.9662,,,1,2.29,开放申购,开放赎回,,,,
2022-02-10,0.9627,0.9627,2022-02-10,0.9627,0.9627,,,1,-0.36,开放申购,开放赎回,,,,
2022-02-11,0.9497,0.9497,2022-02-11,0.9497,0.9497,,,1,-1.35,开放申购,开放赎回,,,,
2022-02-14,0.9294,0.9294,2022-02-14,0.9294,0.9294,,,1,-2.14,开放申购,开放赎回,,,,
2022-02-15,0.9314,0.9314,2022-02-15,0.9314,0.9314,,,1,0.22,开放申购,开放赎回,,,,
2022-02-16,0.9386,0.9386,2022-02-16,0.9386,0.9386,,,1,0.77,开放申购,开放赎回,,,,
2022-02-17,0.9404,0.9404,2022-02-17,0.9404,0.9404,,,1,0.19,开放申购,开放赎回,,,,
2022-04-19,0.7204,0.7204,2022-04-19,0.7204,0.7204,,,1,-1.95,开放申购,开放赎回,,,,
2022-04-20,0.7172,0.7172,2022-04-20,0.7172,0.7172,,,1,-0.44,开放申购,开放赎回,,,,
2022-04-21,0.6959,0.6959,2022-04-21,0.6959,0.6959,,,1,-2.97,开放申购,开放赎回,,,,
2022-04-22,0.695,0.6950,2022-04-22,0.6950,0.6950,,,1,-0.13,开放申购,开放赎回,,,,
2022-04-25,0.6625,0.6625,2022-04-25,0.6625,0.6625,,,1,-4.68,开放申购,开放赎回,,,,
2022-04-26,0.6642,0.6642,2022-04-26,0.6642,0.6642,,,1,0.26,开放申购,开放赎回,,,,
2022-04-27,0.6837,0.6837,2022-04-27,0.6837,0.6837,,,1,2.94,开放申购,开放赎回,,,,
2022-04-28,0.6826,0.6826,2022-04-28,0.6826,0.6826,,,1,-0.16,暂停申购,暂停赎回,,,,
2022-04-29,0.7419,0.7419,2022-04-29,0.7419,0.7419,,,1,8.69,暂停申购,暂停赎回,,,,
2022-05-05,0.723,0.7230,2022-05-05,0.7230,0.7230,,,1,-2.55,开放申购,开放赎回,,,,
2022-05-06,0.7049,0.7049,2022-05-06,0.7049,0.7049,,,1,-2.50,开放申购,开放赎回,,,,
2022-05-09,0.7051,0.7051,2022-05-09,0.7051,0.7051,,,1,0.03,暂停申购,暂停赎回,,,,
2022-05-10,0.7027,0.7027,2022-05-10,0.7027,0.7027,,,1,-0.34,开放申购,开放赎回,,,,
2022-05-11,0.718,0.7180,2022-05-11,0.7180,0.7180,,,1,2.18,开放申购,开放赎回,,,,
2022-05-12,0.7106,0.7106,2022-05-12,0.7106,0.7106,,,1,-1.03,开放申购,开放赎回,,,,
2022-05-13,0.7292,0.7292,2022-05-13,0.7292,0.7292,,,1,2.62,开放申购,开放赎回,,,,
2022-05-16,0.7263,0.7263,2022-05-16,0.7263,0.7263,,,1,-0.40,开放申购,开放赎回,,,,
2022-05-17,0.7458,0.7458,2022-05-17,0.7458,0.7458,,,1,2.68,开放申购,开放赎回,,,,
2022-05-18,0.7412,0.7412,2022-05-18,0.7412,0.7412,,,1,-0.62,开放申购,开放赎回,,,,
2022-05-19,0.7248,0.7248,2022-05-19,0.7248,0.7248,,,1,-2.21,开放申购,开放赎回,,,,
2022-02-18,0.9237,0.9237,2022-02-18,0.9237,0.9237,,,1,-1.78,开放申购,开放赎回,,,,
2022-02-21,0.9113,0.9113,2022-02-21,0.9113,0.9113,,,1,-1.34,开放申购,开放赎回,,,,
2022-02-22,0.8894,0.8894,2022-02-22,0.8894,0.8894,,,1,-2.40,开放申购,开放赎回,,,,
2022-02-23,0.9022,0.9022,2022-02-23,0.9022,0.9022,,,1,1.44,开放申购,开放赎回,,,,
2022-02-24,0.8687,0.8687,2022-02-24,0.8687,0.8687,,,1,-3.71,开放申购,开放赎回,,,,
2022-02-25,0.8746,0.8746,2022-02-25,0.8746,0.8746,,,1,0.68,开放申购,开放赎回,,,,
2022-02-28,0.8739,0.8739,2022-02-28,0.8739,0.8739,,,1,-0.08,开放申购,开放赎回,,,,
2022-03-01,0.8792,0.8792,2022-03-01,0.8792,0.8792,,,1,0.61,开放申购,开放赎回,,,,
2022-03-02,0.8717,0.8717,2022-03-02,0.8717,0.8717,,,1,-0.85,开放申购,开放赎回,,,,
