净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2016-05-25,0.999,0.9990,2016-05-25,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-05-26,0.999,0.9990,2016-05-26,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-05-27,0.999,0.9990,2016-05-27,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-05-30,0.999,0.9990,2016-05-30,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-05-31,0.999,0.9990,2016-05-31,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-01,1.0,1.0000,2016-06-01,1.0000,1.0000,,,1,0.10,开放申购,开放赎回,,,,
2016-06-02,0.999,0.9990,2016-06-02,0.9990,0.9990,,,1,-0.10,开放申购,开放赎回,,,,
2016-06-03,0.999,0.9990,2016-06-03,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-06,0.999,0.9990,2016-06-06,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-13,0.999,0.9990,2016-06-13,0.9990,0.9990,,,1,,开放申购,开放赎回,,,,
2016-06-14,0.999,0.9990,2016-06-14,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-15,0.999,0.9990,2016-06-15,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-16,0.998,0.9980,2016-06-16,0.9980,0.9980,,,1,-0.10,开放申购,开放赎回,,,,
2016-06-17,0.999,0.9990,2016-06-17,0.9990,0.9990,,,1,0.10,开放申购,开放赎回,,,,
2016-06-20,0.999,0.9990,2016-06-20,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-21,0.999,0.9990,2016-06-21,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-22,0.999,0.9990,2016-06-22,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-23,0.999,0.9990,2016-06-23,0.9990,0.9990,,,1,0.00,开放申购,开放赎回,,,,
2016-06-24,0.998,0.9980,2016-06-24,0.9980,0.9980,,,1,-0.10,开放申购,开放赎回,,,,
2016-06-27,0.999,0.9990,2016-06-27,0.9990,0.9990,,,1,0.10,开放申购,开放赎回,,,,
2016-08-23,0.997,0.9970,2016-08-23,0.9970,0.9970,,,1,0.20,开放申购,开放赎回,,,,
2016-08-24,0.991,0.9910,2016-08-24,0.9910,0.9910,,,1,-0.60,开放申购,开放赎回,,,,
2016-08-25,0.991,0.9910,2016-08-25,0.9910,0.9910,,,1,0.00,开放申购,开放赎回,,,,
2016-08-26,0.993,0.9930,2016-08-26,0.9930,0.9930,,,1,0.20,开放申购,开放赎回,,,,
2016-08-29,0.991,0.9910,2016-08-29,0.9910,0.9910,,,1,-0.20,开放申购,开放赎回,,,,
2016-08-30,0.997,0.9970,2016-08-30,0.9970,0.9970,,,1,0.61,开放申购,开放赎回,,,,
2016-08-31,0.998,0.9980,2016-08-31,0.9980,0.9980,,,1,0.10,开放申购,开放赎回,,,,
2016-09-01,1.003,1.0030,2016-09-01,1.0030,1.0030,,,1,0.50,开放申购,开放赎回,,,,
2016-09-02,1.006,1.0060,2016-09-02,1.0060,1.0060,,,1,0.30,开放申购,开放赎回,,,,
