净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-09-14,1.047,1.0470,2021-09-14,1.0470,1.0470,,,1,-1.53,开放申购,开放赎回,,,,
2021-09-15,1.0154,1.0154,2021-09-15,1.0154,1.0154,,,1,-3.02,开放申购,开放赎回,,,,
2021-09-16,1.002,1.0020,2021-09-16,1.0020,1.0020,,,1,-1.32,暂停申购,暂停赎回,,,,
2021-09-17,1.0401,1.0401,2021-09-17,1.0401,1.0401,,,1,3.80,暂停申购,暂停赎回,,,,
2021-09-22,1.0083,1.0083,2021-09-22,1.0083,1.0083,,,1,-3.06,暂停申购,暂停赎回,,,,
2021-09-23,1.0187,1.0187,2021-09-23,1.0187,1.0187,,,1,1.03,开放申购,开放赎回,,,,
2021-09-24,0.9936,0.9936,2021-09-24,0.9936,0.9936,,,1,-2.46,开放申购,开放赎回,,,,
2021-09-27,0.9861,0.9861,2021-09-27,0.9861,0.9861,,,1,-0.75,开放申购,开放赎回,,,,
2021-09-28,1.0054,1.0054,2021-09-28,1.0054,1.0054,,,1,1.96,开放申购,开放赎回,,,,
2021-09-29,0.9963,0.9963,2021-09-29,0.9963,0.9963,,,1,-0.91,暂停申购,暂停赎回,,,,
2021-09-30,0.9882,0.9882,2021-09-30,0.9882,0.9882,,,1,-0.81,暂停申购,暂停赎回,,,,
2021-10-08,1.0011,1.0011,2021-10-08,1.0011,1.0011,,,1,1.31,开放申购,开放赎回,,,,
2021-10-11,1.0301,1.0301,2021-10-11,1.0301,1.0301,,,1,2.90,开放申购,开放赎回,,,,
2021-10-12,0.9985,0.9985,2021-10-12,0.9985,0.9985,,,1,-3.07,开放申购,开放赎回,,,,
2021-10-13,1.0006,1.0006,2021-10-13,1.0006,1.0006,,,1,0.21,开放申购,开放赎回,,,,
2021-10-14,0.9984,0.9984,2021-10-14,0.9984,0.9984,,,1,-0.22,暂停申购,暂停赎回,,,,
2021-10-15,1.0161,1.0161,2021-10-15,1.0161,1.0161,,,1,1.77,开放申购,开放赎回,,,,
2021-10-18,1.0172,1.0172,2021-10-18,1.0172,1.0172,,,1,0.11,开放申购,开放赎回,,,,
2021-10-19,1.0465,1.0465,2021-10-19,1.0465,1.0465,,,1,2.88,开放申购,开放赎回,,,,
2021-10-20,1.0707,1.0707,2021-10-20,1.0707,1.0707,,,1,2.31,开放申购,开放赎回,,,,
2022-03-18,0.7249,0.7249,2022-03-18,0.7249,0.7249,,,1,-1.53,开放申购,开放赎回,,,,
2022-03-21,0.7166,0.7166,2022-03-21,0.7166,0.7166,,,1,-1.14,开放申购,开放赎回,,,,
2022-03-22,0.7539,0.7539,2022-03-22,0.7539,0.7539,,,1,5.21,开放申购,开放赎回,,,,
2022-03-23,0.7672,0.7672,2022-03-23,0.7672,0.7672,,,1,1.76,开放申购,开放赎回,,,,
2022-03-24,0.7465,0.7465,2022-03-24,0.7465,0.7465,,,1,-2.70,开放申购,开放赎回,,,,
2022-03-25,0.7119,0.7119,2022-03-25,0.7119,0.7119,,,1,-4.63,开放申购,开放赎回,,,,
2022-03-28,0.7294,0.7294,2022-03-28,0.7294,0.7294,,,1,2.46,开放申购,开放赎回,,,,
2022-03-29,0.7466,0.7466,2022-03-29,0.7466,0.7466,,,1,2.36,开放申购,开放赎回,,,,
2022-03-30,0.7482,0.7482,2022-03-30,0.7482,0.7482,,,1,0.21,开放申购,开放赎回,,,,
2022-03-31,0.7365,0.7365,2022-03-31,0.7365,0.7365,,,1,-1.56,暂停申购,暂停赎回,,,,
2022-04-01,0.7312,0.7312,2022-04-01,0.7312,0.7312,,,1,-0.72,暂停申购,暂停赎回,,,,
2022-04-06,0.7441,0.7441,2022-04-06,0.7441,0.7441,,,1,1.76,开放申购,开放赎回,,,,
2022-04-07,0.725,0.7250,2022-04-07,0.7250,0.7250,,,1,-2.57,开放申购,开放赎回,,,,
2022-04-08,0.7179,0.7179,2022-04-08,0.7179,0.7179,,,1,-0.98,开放申购,开放赎回,,,,
2022-04-11,0.6809,0.6809,2022-04-11,0.6809,0.6809,,,1,-5.15,开放申购,开放赎回,,,,
2022-04-12,0.693,0.6930,2022-04-12,0.6930,0.6930,,,1,1.78,开放申购,开放赎回,,,,
2022-04-13,0.6953,0.6953,2022-04-13,0.6953,0.6953,,,1,0.33,开放申购,开放赎回,,,,
2022-04-14,0.7014,0.7014,2022-04-14,0.7014,0.7014,,,1,0.88,开放申购,开放赎回,,,,
2022-04-15,0.7048,0.7048,2022-04-15,0.7048,0.7048,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-18,0.7034,0.7034,2022-04-18,0.7034,0.7034,,,1,-0.20,暂停申购,暂停赎回,,,,
2022-04-19,0.677,0.6770,2022-04-19,0.6770,0.6770,,,1,-3.75,开放申购,开放赎回,,,,
2022-04-20,0.6766,0.6766,2022-04-20,0.6766,0.6766,,,1,-0.06,开放申购,开放赎回,,,,
2022-04-21,0.6544,0.6544,2022-04-21,0.6544,0.6544,,,1,-3.28,开放申购,开放赎回,,,,
2022-04-22,0.6607,0.6607,2022-04-22,0.6607,0.6607,,,1,0.96,开放申购,开放赎回,,,,
2022-04-25,0.6306,0.6306,2022-04-25,0.6306,0.6306,,,1,-4.56,开放申购,开放赎回,,,,
2022-04-26,0.6552,0.6552,2022-04-26,0.6552,0.6552,,,1,3.90,开放申购,开放赎回,,,,
2022-04-27,0.6664,0.6664,2022-04-27,0.6664,0.6664,,,1,1.71,开放申购,开放赎回,,,,
2022-04-28,0.6812,0.6812,2022-04-28,0.6812,0.6812,,,1,2.22,暂停申购,暂停赎回,,,,
2022-04-29,0.7528,0.7528,2022-04-29,0.7528,0.7528,,,1,10.51,暂停申购,暂停赎回,,,,
2022-05-05,0.7123,0.7123,2022-05-05,0.7123,0.7123,,,1,-5.38,开放申购,开放赎回,,,,
2022-05-06,0.6823,0.6823,2022-05-06,0.6823,0.6823,,,1,-4.21,开放申购,开放赎回,,,,
2022-05-09,0.6875,0.6875,2022-05-09,0.6875,0.6875,,,1,0.76,暂停申购,暂停赎回,,,,
2022-05-10,0.668,0.6680,2022-05-10,0.6680,0.6680,,,1,-2.84,开放申购,开放赎回,,,,
2022-05-11,0.689,0.6890,2022-05-11,0.6890,0.6890,,,1,3.14,开放申购,开放赎回,,,,
2022-05-12,0.6636,0.6636,2022-05-12,0.6636,0.6636,,,1,-3.69,开放申购,开放赎回,,,,
2022-05-13,0.6951,0.6951,2022-05-13,0.6951,0.6951,,,1,4.75,开放申购,开放赎回,,,,
2022-05-16,0.6959,0.6959,2022-05-16,0.6959,0.6959,,,1,0.12,开放申购,开放赎回,,,,
2022-05-17,0.7343,0.7343,2022-05-17,0.7343,0.7343,,,1,5.52,开放申购,开放赎回,,,,
2022-05-18,0.7268,0.7268,2022-05-18,0.7268,0.7268,,,1,-1.02,开放申购,开放赎回,,,,
2022-05-19,0.701,0.7010,2022-05-19,0.7010,0.7010,,,1,-3.55,开放申购,开放赎回,,,,
2021-11-18,1.0322,1.0322,2021-11-18,1.0322,1.0322,,,1,-3.12,开放申购,开放赎回,,,,
2021-11-19,1.028,1.0280,2021-11-19,1.0280,1.0280,,,1,-0.41,开放申购,开放赎回,,,,
2021-11-22,1.0225,1.0225,2021-11-22,1.0225,1.0225,,,1,-0.54,开放申购,开放赎回,,,,
2021-11-23,1.0089,1.0089,2021-11-23,1.0089,1.0089,,,1,-1.33,开放申购,开放赎回,,,,
2021-11-24,1.004,1.0040,2021-11-24,1.0040,1.0040,,,1,-0.49,开放申购,开放赎回,,,,
2021-11-25,1.0148,1.0148,2021-11-25,1.0148,1.0148,,,1,1.08,开放申购,开放赎回,,,,
2021-11-26,0.983,0.9830,2021-11-26,0.9830,0.9830,,,1,-3.13,开放申购,开放赎回,,,,
2021-11-29,0.9724,0.9724,2021-11-29,0.9724,0.9724,,,1,-1.08,开放申购,开放赎回,,,,
2021-11-30,0.9626,0.9626,2021-11-30,0.9626,0.9626,,,1,-1.01,开放申购,开放赎回,,,,
2021-12-01,0.9646,0.9646,2021-12-01,0.9646,0.9646,,,1,0.21,开放申购,开放赎回,,,,
2021-12-02,0.9594,0.9594,2021-12-02,0.9594,0.9594,,,1,-0.54,开放申购,开放赎回,,,,
2021-12-03,0.9464,0.9464,2021-12-03,0.9464,0.9464,,,1,-1.36,开放申购,开放赎回,,,,
2021-12-06,0.9164,0.9164,2021-12-06,0.9164,0.9164,,,1,-3.17,开放申购,开放赎回,,,,
2021-12-07,0.9543,0.9543,2021-12-07,0.9543,0.9543,,,1,4.14,开放申购,开放赎回,,,,
2021-12-08,0.9535,0.9535,2021-12-08,0.9535,0.9535,,,1,-0.08,开放申购,开放赎回,,,,
2021-12-09,0.9711,0.9711,2021-12-09,0.9711,0.9711,,,1,1.85,开放申购,开放赎回,,,,
2021-12-10,0.9637,0.9637,2021-12-10,0.9637,0.9637,,,1,-0.76,开放申购,开放赎回,,,,
2021-12-13,0.9623,0.9623,2021-12-13,0.9623,0.9623,,,1,-0.15,开放申购,开放赎回,,,,
2021-12-14,0.9388,0.9388,2021-12-14,0.9388,0.9388,,,1,-2.44,开放申购,开放赎回,,,,
2021-12-15,0.9258,0.9258,2021-12-15,0.9258,0.9258,,,1,-1.38,开放申购,开放赎回,,,,
2021-08-17,0.9996,0.9996,2021-08-17,0.9996,0.9996,,,1,,封闭期,封闭期,,,,
2021-08-18,0.9995,0.9995,2021-08-18,0.9995,0.9995,,,1,-0.01,开放申购,开放赎回,,,,
2021-08-19,0.9764,0.9764,2021-08-19,0.9764,0.9764,,,1,-2.31,开放申购,开放赎回,,,,
2021-08-20,0.9579,0.9579,2021-08-20,0.9579,0.9579,,,1,-1.89,开放申购,开放赎回,,,,
2021-08-23,0.982,0.9820,2021-08-23,0.9820,0.9820,,,1,2.52,开放申购,开放赎回,,,,
2021-08-24,1.0443,1.0443,2021-08-24,1.0443,1.0443,,,1,6.34,开放申购,开放赎回,,,,
2021-08-25,1.0438,1.0438,2021-08-25,1.0438,1.0438,,,1,-0.05,开放申购,开放赎回,,,,
2021-08-26,1.0257,1.0257,2021-08-26,1.0257,1.0257,,,1,-1.73,开放申购,开放赎回,,,,
2021-08-27,1.0226,1.0226,2021-08-27,1.0226,1.0226,,,1,-0.30,开放申购,开放赎回,,,,
2021-08-30,1.0338,1.0338,2021-08-30,1.0338,1.0338,,,1,1.10,开放申购,开放赎回,,,,
2021-08-31,1.0672,1.0672,2021-08-31,1.0672,1.0672,,,1,3.23,开放申购,开放赎回,,,,
2021-09-01,1.0823,1.0823,2021-09-01,1.0823,1.0823,,,1,1.41,开放申购,开放赎回,,,,
2021-09-02,1.0955,1.0955,2021-09-02,1.0955,1.0955,,,1,1.22,开放申购,开放赎回,,,,
2021-09-03,1.0849,1.0849,2021-09-03,1.0849,1.0849,,,1,-0.97,开放申购,开放赎回,,,,
2021-09-06,1.0913,1.0913,2021-09-06,1.0913,1.0913,,,1,0.59,开放申购,开放赎回,,,,
2021-09-07,1.1028,1.1028,2021-09-07,1.1028,1.1028,,,1,1.05,开放申购,开放赎回,,,,
2021-09-08,1.1023,1.1023,2021-09-08,1.1023,1.1023,,,1,-0.05,开放申购,开放赎回,,,,
2021-09-09,1.0562,1.0562,2021-09-09,1.0562,1.0562,,,1,-4.18,开放申购,开放赎回,,,,
2021-09-10,1.0851,1.0851,2021-09-10,1.0851,1.0851,,,1,2.74,开放申购,开放赎回,,,,
2021-09-13,1.0633,1.0633,2021-09-13,1.0633,1.0633,,,1,-2.01,开放申购,开放赎回,,,,
2022-01-14,0.924,0.9240,2022-01-14,0.9240,0.9240,,,1,-0.21,开放申购,开放赎回,,,,
2022-01-17,0.9161,0.9161,2022-01-17,0.9161,0.9161,,,1,-0.85,开放申购,开放赎回,,,,
2022-01-18,0.9101,0.9101,2022-01-18,0.9101,0.9101,,,1,-0.65,开放申购,开放赎回,,,,
2022-01-19,0.9027,0.9027,2022-01-19,0.9027,0.9027,,,1,-0.81,开放申购,开放赎回,,,,
2022-01-20,0.9413,0.9413,2022-01-20,0.9413,0.9413,,,1,4.28,开放申购,开放赎回,,,,
2022-01-21,0.9367,0.9367,2022-01-21,0.9367,0.9367,,,1,-0.49,开放申购,开放赎回,,,,
2022-01-24,0.9102,0.9102,2022-01-24,0.9102,0.9102,,,1,-2.83,开放申购,开放赎回,,,,
2022-01-25,0.8874,0.8874,2022-01-25,0.8874,0.8874,,,1,-2.50,开放申购,开放赎回,,,,
2022-01-26,0.8926,0.8926,2022-01-26,0.8926,0.8926,,,1,0.59,开放申购,开放赎回,,,,
2022-01-27,0.8608,0.8608,2022-01-27,0.8608,0.8608,,,1,-3.56,暂停申购,暂停赎回,,,,
2022-01-28,0.8495,0.8495,2022-01-28,0.8495,0.8495,,,1,-1.31,暂停申购,暂停赎回,,,,
2022-02-07,0.8847,0.8847,2022-02-07,0.8847,0.8847,,,1,4.14,开放申购,开放赎回,,,,
2022-02-08,0.8707,0.8707,2022-02-08,0.8707,0.8707,,,1,-1.58,开放申购,开放赎回,,,,
2022-02-09,0.9027,0.9027,2022-02-09,0.9027,0.9027,,,1,3.68,开放申购,开放赎回,,,,
2022-02-10,0.907,0.9070,2022-02-10,0.9070,0.9070,,,1,0.48,开放申购,开放赎回,,,,
2022-02-11,0.8955,0.8955,2022-02-11,0.8955,0.8955,,,1,-1.27,开放申购,开放赎回,,,,
