净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-10-21,1.0582,1.0582,2021-10-21,1.0582,1.0582,,,1,-1.14,开放申购,开放赎回,,,,
2021-10-22,1.0799,1.0799,2021-10-22,1.0799,1.0799,,,1,2.05,开放申购,开放赎回,,,,
2021-10-25,1.0756,1.0756,2021-10-25,1.0756,1.0756,,,1,-0.40,开放申购,开放赎回,,,,
2021-10-26,1.0604,1.0604,2021-10-26,1.0604,1.0604,,,1,-1.41,开放申购,开放赎回,,,,
2021-10-27,1.029,1.0290,2021-10-27,1.0290,1.0290,,,1,-2.96,开放申购,开放赎回,,,,
2021-10-28,1.0302,1.0302,2021-10-28,1.0302,1.0302,,,1,0.12,开放申购,开放赎回,,,,
2021-10-29,1.0181,1.0181,2021-10-29,1.0181,1.0181,,,1,-1.17,开放申购,开放赎回,,,,
2021-11-01,1.0081,1.0081,2021-11-01,1.0081,1.0081,,,1,-0.98,开放申购,开放赎回,,,,
2021-11-02,1.0096,1.0096,2021-11-02,1.0096,1.0096,,,1,0.15,开放申购,开放赎回,,,,
2021-11-03,1.0051,1.0051,2021-11-03,1.0051,1.0051,,,1,-0.45,开放申购,开放赎回,,,,
2021-11-04,1.0186,1.0186,2021-11-04,1.0186,1.0186,,,1,1.34,开放申购,开放赎回,,,,
2021-11-05,1.0036,1.0036,2021-11-05,1.0036,1.0036,,,1,-1.47,开放申购,开放赎回,,,,
2021-11-08,0.9913,0.9913,2021-11-08,0.9913,0.9913,,,1,-1.23,开放申购,开放赎回,,,,
2021-11-09,0.9948,0.9948,2021-11-09,0.9948,0.9948,,,1,0.35,开放申购,开放赎回,,,,
2021-11-10,1.0159,1.0159,2021-11-10,1.0159,1.0159,,,1,2.12,开放申购,开放赎回,,,,
2021-11-11,1.0356,1.0356,2021-11-11,1.0356,1.0356,,,1,1.94,开放申购,开放赎回,,,,
2021-11-12,1.0501,1.0501,2021-11-12,1.0501,1.0501,,,1,1.40,开放申购,开放赎回,,,,
2021-11-15,1.0527,1.0527,2021-11-15,1.0527,1.0527,,,1,0.25,开放申购,开放赎回,,,,
2021-11-16,1.0702,1.0702,2021-11-16,1.0702,1.0702,,,1,1.66,开放申购,开放赎回,,,,
2021-11-17,1.0649,1.0649,2021-11-17,1.0649,1.0649,,,1,-0.50,开放申购,开放赎回,,,,
2021-08-17,0.9995,0.9995,2021-08-17,0.9995,0.9995,,,1,,封闭期,封闭期,,,,
2021-08-18,0.9994,0.9994,2021-08-18,0.9994,0.9994,,,1,-0.01,开放申购,开放赎回,,,,
2021-08-19,0.9766,0.9766,2021-08-19,0.9766,0.9766,,,1,-2.28,开放申购,开放赎回,,,,
2021-08-20,0.9579,0.9579,2021-08-20,0.9579,0.9579,,,1,-1.91,开放申购,开放赎回,,,,
