净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-08-17,1.0039,1.0039,2021-08-17,1.0039,1.0039,,,1,-2.93,开放申购,开放赎回,,,,
2021-08-18,1.0172,1.0172,2021-08-18,1.0172,1.0172,,,1,1.32,开放申购,开放赎回,,,,
2021-08-19,1.0367,1.0367,2021-08-19,1.0367,1.0367,,,1,1.92,开放申购,开放赎回,,,,
2021-08-20,1.0364,1.0364,2021-08-20,1.0364,1.0364,,,1,-0.03,开放申购,开放赎回,,,,
2021-08-23,1.0655,1.0655,2021-08-23,1.0655,1.0655,,,1,2.81,开放申购,开放赎回,,,,
2021-08-24,1.0925,1.0925,2021-08-24,1.0925,1.0925,,,1,2.53,开放申购,开放赎回,,,,
2021-08-25,1.0835,1.0835,2021-08-25,1.0835,1.0835,,,1,-0.82,开放申购,开放赎回,,,,
2021-08-26,1.0596,1.0596,2021-08-26,1.0596,1.0596,,,1,-2.21,开放申购,开放赎回,,,,
2021-08-27,1.0691,1.0691,2021-08-27,1.0691,1.0691,,,1,0.90,开放申购,开放赎回,,,,
2021-08-30,1.0687,1.0687,2021-08-30,1.0687,1.0687,,,1,-0.04,开放申购,开放赎回,,,,
2021-08-31,1.067,1.0670,2021-08-31,1.0670,1.0670,,,1,-0.16,开放申购,开放赎回,,,,
2021-09-01,1.0666,1.0666,2021-09-01,1.0666,1.0666,,,1,-0.04,开放申购,开放赎回,,,,
2021-09-02,1.0583,1.0583,2021-09-02,1.0583,1.0583,,,1,-0.78,开放申购,开放赎回,,,,
2021-09-03,1.0656,1.0656,2021-09-03,1.0656,1.0656,,,1,0.69,开放申购,开放赎回,,,,
2021-09-06,1.085,1.0850,2021-09-06,1.0850,1.0850,,,1,1.82,开放申购,开放赎回,,,,
2021-09-07,1.0896,1.0896,2021-09-07,1.0896,1.0896,,,1,0.42,开放申购,开放赎回,,,,
2021-09-08,1.0823,1.0823,2021-09-08,1.0823,1.0823,,,1,-0.67,开放申购,开放赎回,,,,
2021-09-09,1.0657,1.0657,2021-09-09,1.0657,1.0657,,,1,-1.53,开放申购,开放赎回,,,,
2021-09-10,1.0781,1.0781,2021-09-10,1.0781,1.0781,,,1,1.16,开放申购,开放赎回,,,,
2021-09-13,1.0552,1.0552,2021-09-13,1.0552,1.0552,,,1,-2.12,开放申购,开放赎回,,,,
2021-07-20,1.0434,1.0434,2021-07-20,1.0434,1.0434,,,1,-0.05,开放申购,开放赎回,,,,
2021-07-21,1.0752,1.0752,2021-07-21,1.0752,1.0752,,,1,3.05,开放申购,开放赎回,,,,
2021-07-22,1.0901,1.0901,2021-07-22,1.0901,1.0901,,,1,1.39,开放申购,开放赎回,,,,
2021-07-23,1.0756,1.0756,2021-07-23,1.0756,1.0756,,,1,-1.33,开放申购,开放赎回,,,,
2021-07-26,1.0575,1.0575,2021-07-26,1.0575,1.0575,,,1,-1.68,开放申购,开放赎回,,,,
2021-07-27,1.0198,1.0198,2021-07-27,1.0198,1.0198,,,1,-3.57,开放申购,开放赎回,,,,
2021-07-28,1.0356,1.0356,2021-07-28,1.0356,1.0356,,,1,1.55,开放申购,开放赎回,,,,
2021-07-29,1.0769,1.0769,2021-07-29,1.0769,1.0769,,,1,3.99,开放申购,开放赎回,,,,
2021-07-30,1.0694,1.0694,2021-07-30,1.0694,1.0694,,,1,-0.70,开放申购,开放赎回,,,,
2021-08-02,1.0911,1.0911,2021-08-02,1.0911,1.0911,,,1,2.03,开放申购,开放赎回,,,,
2021-08-03,1.0802,1.0802,2021-08-03,1.0802,1.0802,,,1,-1.00,开放申购,开放赎回,,,,
2021-08-04,1.0965,1.0965,2021-08-04,1.0965,1.0965,,,1,1.51,开放申购,开放赎回,,,,
2021-08-05,1.0749,1.0749,2021-08-05,1.0749,1.0749,,,1,-1.97,开放申购,开放赎回,,,,
2021-08-06,1.06,1.0600,2021-08-06,1.0600,1.0600,,,1,-1.39,开放申购,开放赎回,,,,
2021-08-09,1.0778,1.0778,2021-08-09,1.0778,1.0778,,,1,1.68,开放申购,开放赎回,,,,
2021-08-10,1.0788,1.0788,2021-08-10,1.0788,1.0788,,,1,0.09,开放申购,开放赎回,,,,
2021-08-11,1.0708,1.0708,2021-08-11,1.0708,1.0708,,,1,-0.74,开放申购,开放赎回,,,,
2021-08-12,1.0674,1.0674,2021-08-12,1.0674,1.0674,,,1,-0.32,开放申购,开放赎回,,,,
2021-08-13,1.0498,1.0498,2021-08-13,1.0498,1.0498,,,1,-1.65,开放申购,开放赎回,,,,
2021-08-16,1.0342,1.0342,2021-08-16,1.0342,1.0342,,,1,-1.49,开放申购,开放赎回,,,,
2022-04-19,0.8217,0.8217,2022-04-19,0.8217,0.8217,,,1,-1.51,开放申购,开放赎回,,,,
2022-04-20,0.8067,0.8067,2022-04-20,0.8067,0.8067,,,1,-1.83,开放申购,开放赎回,,,,
2022-04-21,0.776,0.7760,2022-04-21,0.7760,0.7760,,,1,-3.81,开放申购,开放赎回,,,,
2022-04-22,0.7695,0.7695,2022-04-22,0.7695,0.7695,,,1,-0.84,开放申购,开放赎回,,,,
2022-04-25,0.7257,0.7257,2022-04-25,0.7257,0.7257,,,1,-5.69,开放申购,开放赎回,,,,
2022-04-26,0.7201,0.7201,2022-04-26,0.7201,0.7201,,,1,-0.77,开放申购,开放赎回,,,,
2022-04-27,0.7643,0.7643,2022-04-27,0.7643,0.7643,,,1,6.14,开放申购,开放赎回,,,,
2022-04-28,0.7831,0.7831,2022-04-28,0.7831,0.7831,,,1,2.46,暂停申购,暂停赎回,,,,
2022-04-29,0.8424,0.8424,2022-04-29,0.8424,0.8424,,,1,7.57,暂停申购,暂停赎回,,,,
