净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-12-16,0.9042,0.9042,2021-12-16,0.9042,0.9042,,,1,0.32,开放申购,开放赎回,,,,
2021-12-17,0.8849,0.8849,2021-12-17,0.8849,0.8849,,,1,-2.13,开放申购,开放赎回,,,,
2021-12-20,0.8625,0.8625,2021-12-20,0.8625,0.8625,,,1,-2.53,开放申购,开放赎回,,,,
2021-12-21,0.8761,0.8761,2021-12-21,0.8761,0.8761,,,1,1.58,开放申购,开放赎回,,,,
2021-12-22,0.886,0.8860,2021-12-22,0.8860,0.8860,,,1,1.13,开放申购,开放赎回,,,,
2021-12-23,0.8787,0.8787,2021-12-23,0.8787,0.8787,,,1,-0.82,开放申购,开放赎回,,,,
2021-12-24,0.8765,0.8765,2021-12-24,0.8765,0.8765,,,1,-0.25,暂停申购,暂停赎回,,,,
2021-12-27,0.8764,0.8764,2021-12-27,0.8764,0.8764,,,1,-0.01,暂停申购,暂停赎回,,,,
2021-12-28,0.8697,0.8697,2021-12-28,0.8697,0.8697,,,1,-0.76,开放申购,开放赎回,,,,
2021-12-29,0.8556,0.8556,2021-12-29,0.8556,0.8556,,,1,-1.62,暂停申购,暂停赎回,,,,
2021-12-30,0.8555,0.8555,2021-12-30,0.8555,0.8555,,,1,-0.01,暂停申购,暂停赎回,,,,
2021-12-31,0.8849,0.8849,2021-12-31,0.8849,0.8849,,,1,3.44,暂停申购,暂停赎回,,,,
2022-01-04,0.8722,0.8722,2022-01-04,0.8722,0.8722,,,1,-1.44,开放申购,开放赎回,,,,
2022-01-05,0.8363,0.8363,2022-01-05,0.8363,0.8363,,,1,-4.12,开放申购,开放赎回,,,,
2022-01-06,0.8457,0.8457,2022-01-06,0.8457,0.8457,,,1,1.12,开放申购,开放赎回,,,,
2022-01-07,0.8604,0.8604,2022-01-07,0.8604,0.8604,,,1,1.74,开放申购,开放赎回,,,,
2022-01-10,0.8769,0.8769,2022-01-10,0.8769,0.8769,,,1,1.92,开放申购,开放赎回,,,,
2022-01-11,0.8768,0.8768,2022-01-11,0.8768,0.8768,,,1,-0.01,开放申购,开放赎回,,,,
2022-01-12,0.9165,0.9165,2022-01-12,0.9165,0.9165,,,1,4.53,开放申购,开放赎回,,,,
2022-01-13,0.9008,0.9008,2022-01-13,0.9008,0.9008,,,1,-1.71,开放申购,开放赎回,,,,
2022-04-19,0.6603,0.6603,2022-04-19,0.6603,0.6603,,,1,-3.56,开放申购,开放赎回,,,,
2022-04-20,0.6597,0.6597,2022-04-20,0.6597,0.6597,,,1,-0.09,开放申购,开放赎回,,,,
2022-04-21,0.6389,0.6389,2022-04-21,0.6389,0.6389,,,1,-3.15,开放申购,开放赎回,,,,
2022-04-22,0.6452,0.6452,2022-04-22,0.6452,0.6452,,,1,0.99,开放申购,开放赎回,,,,
2022-04-25,0.6185,0.6185,2022-04-25,0.6185,0.6185,,,1,-4.14,开放申购,开放赎回,,,,
2022-04-26,0.6411,0.6411,2022-04-26,0.6411,0.6411,,,1,3.65,开放申购,开放赎回,,,,
2022-04-27,0.6513,0.6513,2022-04-27,0.6513,0.6513,,,1,1.59,开放申购,开放赎回,,,,
2022-04-28,0.6646,0.6646,2022-04-28,0.6646,0.6646,,,1,2.04,暂停申购,暂停赎回,,,,
2022-04-29,0.7315,0.7315,2022-04-29,0.7315,0.7315,,,1,10.07,暂停申购,暂停赎回,,,,
2022-05-05,0.6937,0.6937,2022-05-05,0.6937,0.6937,,,1,-5.17,开放申购,开放赎回,,,,
2022-05-06,0.6656,0.6656,2022-05-06,0.6656,0.6656,,,1,-4.05,开放申购,开放赎回,,,,
2022-05-09,0.6708,0.6708,2022-05-09,0.6708,0.6708,,,1,0.78,暂停申购,暂停赎回,,,,
2022-05-10,0.653,0.6530,2022-05-10,0.6530,0.6530,,,1,-2.65,开放申购,开放赎回,,,,
2022-05-11,0.6719,0.6719,2022-05-11,0.6719,0.6719,,,1,2.89,开放申购,开放赎回,,,,
2022-05-12,0.6483,0.6483,2022-05-12,0.6483,0.6483,,,1,-3.51,开放申购,开放赎回,,,,
2022-05-13,0.6807,0.6807,2022-05-13,0.6807,0.6807,,,1,5.00,开放申购,开放赎回,,,,
2022-05-16,0.6805,0.6805,2022-05-16,0.6805,0.6805,,,1,-0.03,开放申购,开放赎回,,,,
2022-05-17,0.7169,0.7169,2022-05-17,0.7169,0.7169,,,1,5.35,开放申购,开放赎回,,,,
2022-05-18,0.7104,0.7104,2022-05-18,0.7104,0.7104,,,1,-0.91,开放申购,开放赎回,,,,
2022-05-19,0.6861,0.6861,2022-05-19,0.6861,0.6861,,,1,-3.42,开放申购,开放赎回,,,,
