净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2017-09-11,1.0407,1.0407,2017-09-11,1.0407,1.0407,,,1,0.85,开放申购,开放赎回,,,,
2017-09-12,1.0354,1.0354,2017-09-12,1.0354,1.0354,,,1,-0.51,开放申购,开放赎回,,,,
2017-09-13,1.042,1.0420,2017-09-13,1.0420,1.0420,,,1,0.64,开放申购,开放赎回,,,,
2017-09-14,1.0372,1.0372,2017-09-14,1.0372,1.0372,,,1,-0.46,开放申购,开放赎回,,,,
2017-09-15,1.0516,1.0516,2017-09-15,1.0516,1.0516,,,1,1.39,开放申购,开放赎回,,,,
2017-09-18,1.0537,1.0537,2017-09-18,1.0537,1.0537,,,1,0.20,开放申购,开放赎回,,,,
2017-09-19,1.0449,1.0449,2017-09-19,1.0449,1.0449,,,1,-0.84,开放申购,开放赎回,,,,
2017-09-20,1.0555,1.0555,2017-09-20,1.0555,1.0555,,,1,1.01,开放申购,开放赎回,,,,
2017-09-21,1.0422,1.0422,2017-09-21,1.0422,1.0422,,,1,-1.26,开放申购,开放赎回,,,,
2017-09-22,1.0371,1.0371,2017-09-22,1.0371,1.0371,,,1,-0.49,开放申购,开放赎回,,,,
2017-09-25,1.0324,1.0324,2017-09-25,1.0324,1.0324,,,1,-0.45,开放申购,开放赎回,,,,
2017-09-26,1.0393,1.0393,2017-09-26,1.0393,1.0393,,,1,0.67,开放申购,开放赎回,,,,
2017-09-27,1.0435,1.0435,2017-09-27,1.0435,1.0435,,,1,0.40,开放申购,开放赎回,,,,
2017-09-28,1.047,1.0470,2017-09-28,1.0470,1.0470,,,1,0.34,开放申购,开放赎回,,,,
2017-09-29,1.0496,1.0496,2017-09-29,1.0496,1.0496,,,1,0.25,开放申购,开放赎回,,,,
2017-10-09,1.0477,1.0477,2017-10-09,1.0477,1.0477,,,1,-0.18,开放申购,开放赎回,,,,
2017-10-10,1.0494,1.0494,2017-10-10,1.0494,1.0494,,,1,0.16,开放申购,开放赎回,,,,
2017-10-11,1.0419,1.0419,2017-10-11,1.0419,1.0419,,,1,-0.71,开放申购,开放赎回,,,,
2017-10-12,1.0654,1.0654,2017-10-12,1.0654,1.0654,,,1,2.26,开放申购,开放赎回,,,,
2017-10-13,1.0598,1.0598,2017-10-13,1.0598,1.0598,,,1,-0.53,开放申购,开放赎回,,,,
2017-11-13,1.0021,1.0021,2017-11-13,1.0021,1.0021,,,1,-0.06,开放申购,开放赎回,,,,
2017-11-14,1.0164,1.0164,2017-11-14,1.0164,1.0164,,,1,1.43,开放申购,开放赎回,,,,
